area_Id,Post Office Name,ÊPincode,Districts Name,City Name,State
313,Ligods Road,Ê600014,Chennai,Chennai,Tamil Nadu
314,Pudupakkam,Ê600014,Chennai,Chennai,Tamil Nadu
315,Royapettah,Ê600014,Chennai,Chennai,Tamil Nadu
316,Triplicane South,Ê600014,Chennai,Chennai,Tamil Nadu
317,Gunidy North,Ê600015,Chennai,Chennai,Tamil Nadu
318,Saidapet Madras,Ê600015,Chennai,Chennai,Tamil Nadu
319,Saidapet West,Ê600015,Chennai,Chennai,Tamil Nadu
320,Saidhapet North,Ê600015,Chennai,Chennai,Tamil Nadu
321,Alandur,Ê600016,Chennai,Alandur,Tamil Nadu
322,Butt Road,Ê600016,Chennai,Chennai,Tamil Nadu
323,St Thomas Mount H O,Ê600016,Chennai,Chennai,Tamil Nadu
324,Tiruvaluvar Nagar,Ê600016,Chennai,Chennai,Tamil Nadu
325,Habibullah Road,Ê600017,Chennai,Chennai,Tamil Nadu
326,Hindi Prachar Sabha,Ê600017,Chennai,Chennai,Tamil Nadu
327,North Thyagarayanagar,Ê600017,Chennai,Chennai,Tamil Nadu
328,Panagal Park,Ê600017,Chennai,Chennai,Tamil Nadu
329,Thayagaranagar H O,Ê600017,Chennai,Chennai,Tamil Nadu
330,Thyagarayanagar South,Ê600017,Chennai,Chennai,Tamil Nadu
331,Usman Road,Ê600017,Chennai,Chennai,Tamil Nadu
332,Abiramapuram,Ê600018,Chennai,Chennai,Tamil Nadu
333,Chamiers Road,Ê600018,Chennai,Chennai,Tamil Nadu
334,Eldams Road,Ê600018,Chennai,Chennai,Tamil Nadu
335,Ms Accountant General,Ê600018,Chennai,Chennai,Tamil Nadu
336,Teynampet,Ê600018,Chennai,Chennai,Tamil Nadu
337,Teynampet South,Ê600018,Chennai,Chennai,Tamil Nadu
338,Kaladipet,Ê600019,Chennai,Chennai,Tamil Nadu
339,Shanmugapuram,Ê600019,Chennai,Chennai,Tamil Nadu
340,Tiruvottiur Central,Ê600019,Chennai,Chennai,Tamil Nadu
341,Tiruvottiyur,Ê600019,Chennai,Tiruvottiyur,Tamil Nadu
342,Tiruvottiyur North,Ê600019,Chennai,Chennai,Tamil Nadu
343,Tiruvottiyur West,Ê600019,Chennai,Chennai,Tamil Nadu
344,Wimconagar,Ê600019,Chennai,Chennai,Tamil Nadu
345,Adyar,Ê600020,Chennai,Chennai,Tamil Nadu
346,Central Institute Of Tech,Ê600020,Chennai,Chennai,Tamil Nadu
347,Central Leather Research,Ê600020,Chennai,Chennai,Tamil Nadu
348,Gandhi Nagar,Ê600020,Chennai,Chennai,Tamil Nadu
349,Indra Nagar,Ê600020,Chennai,Chennai,Tamil Nadu
350,Kasturbanagar,Ê600020,Chennai,Chennai,Tamil Nadu
351,Sastrinagar,Ê600020,Chennai,Chennai,Tamil Nadu
352,Technical Teachers Trg In,Ê600020,Chennai,Chennai,Tamil Nadu
353,Theosophical Society,Ê600020,Chennai,Chennai,Tamil Nadu
354,Cemetry Road,Ê600021,Chennai,Chennai,Tamil Nadu
355,Gollawar Agraharam Road,Ê600021,Chennai,Chennai,Tamil Nadu
356,Harinarayanapuram,Ê600021,Chennai,Chennai,Tamil Nadu
357,Korukkupet,Ê600021,Chennai,Chennai,Tamil Nadu
358,Washermanpeta East,Ê600021,Chennai,Chennai,Tamil Nadu
359,Washermanpetta,Ê600021,Chennai,Chennai,Tamil Nadu
360,Raj Bhavan Madras Raja,Ê600022,Chennai,Chennai,Tamil Nadu
361,Ayanavaram,Ê600023,Chennai,Chennai,Tamil Nadu
362,Ayanavaram Rly Colony,Ê600023,Chennai,Chennai,Tamil Nadu
363,Solai Street,Ê600023,Chennai,Chennai,Tamil Nadu
364,Arcot Road,Ê600024,Chennai,Chennai,Tamil Nadu
365,Kodambakkam,Ê600024,Chennai,Chennai,Tamil Nadu
366,Kodambakkam West,Ê600024,Chennai,Chennai,Tamil Nadu
367,Rengarajapuram,Ê600024,Chennai,Chennai,Tamil Nadu
368,Engineering College Directorat,Ê600025,Chennai,Chennai,Tamil Nadu
369,Vadapalani,Ê600026,Chennai,Chennai,Tamil Nadu
370,Madras Air Port,Ê600027,Chennai,Chennai,Tamil Nadu
371,Minambakkam,Ê600027,Chennai,Chennai,Tamil Nadu
372,Annamalaipuram,Ê600028,Chennai,Chennai,Tamil Nadu
373,Fore Shore Estate,Ê600028,Chennai,Chennai,Tamil Nadu
374,R A Puram Colony,Ê600028,Chennai,Chennai,Tamil Nadu
375,Ramakrishnanagar,Ê600028,Chennai,Chennai,Tamil Nadu
376,Aminijikarai,Ê600029,Chennai,Chennai,Tamil Nadu
377,Panchiappas College Hoste,Ê600030,Chennai,Chennai,Tamil Nadu
378,Shenoynagar,Ê600030,Chennai,Chennai,Tamil Nadu
379,Chetput H O,Ê600031,Chennai,Chennai,Tamil Nadu
380,Harrington Road,Ê600031,Chennai,Chennai,Tamil Nadu
381,Service Centre,Ê600031,Chennai,Chennai,Tamil Nadu
382,World University,Ê600031,Chennai,Chennai,Tamil Nadu
383,Alandur North,Ê600032,Chennai,Chennai,Tamil Nadu
384,Guindy Ind Estate,Ê600032,Chennai,Chennai,Tamil Nadu
385,Hindustan Teleprinters,Ê600032,Chennai,Chennai,Tamil Nadu
386,Madras Race Course,Ê600032,Chennai,Chennai,Tamil Nadu
387,Kumaran Nagar,Ê600033,Chennai,Chennai,Tamil Nadu
388,Mambalam East,Ê600033,Chennai,Chennai,Tamil Nadu
389,Mambalam R S,Ê600033,Chennai,Chennai,Tamil Nadu
390,Mettupalayam,Ê600033,Chennai,Mettupalayam,Tamil Nadu
391,West Mambalam,Ê600033,Chennai,Chennai,Tamil Nadu
392,Loyla College,Ê600034,Chennai,Chennai,Tamil Nadu
393,Nungambakkam,Ê600034,Thiruvallur,Thiruvallur,Tamil Nadu
394,Nungambakkam Bazaar,Ê600034,Chennai,Chennai,Tamil Nadu
395,Nungambakkam High Road,Ê600034,Chennai,Chennai,Tamil Nadu
396,Nandanam,Ê600035,Chennai,Chennai,Tamil Nadu
397,Nandanam Bazaar,Ê600035,Chennai,Chennai,Tamil Nadu
398,Indian Inst Of Technology,Ê600036,Chennai,Chennai,Tamil Nadu
399,Offiers Trg School,Ê600037,Chennai,Chennai,Tamil Nadu
400,I C F Colony,Ê600038,Chennai,Chennai,Tamil Nadu
401,Vyasarpady,Ê600039,Chennai,Chennai,Tamil Nadu
402,Vysarnagar Colony,Ê600039,Chennai,Chennai,Tamil Nadu
403,Vysarpady Coop Ind Estate,Ê600039,Chennai,Chennai,Tamil Nadu
404,Annanagar,Ê600040,Chennai,Chennai,Tamil Nadu
405,Tiruvanmiyur,Ê600041,Chennai,Chennai,Tamil Nadu
406,Velacheri,Ê600042,Chennai,Chennai,Tamil Nadu
407,Pallavaram,Ê600043,Chennai,Chennai,Tamil Nadu
408,Pallavaram North,Ê600043,Chennai,Chennai,Tamil Nadu
409,Pallavaram South,Ê600043,Chennai,Chennai,Tamil Nadu
410,Rajainagar,Ê600043,Chennai,Chennai,Tamil Nadu
